t,n_steps,order,depth,cnot,fidelity,z_l2
0.0,1,1,0,0,1.0000000000000022,3.1086244689504387e-15
0.1,1,1,20,15,0.9992411434881947,0.0012238228578153227
0.2,1,1,20,15,0.9895666599575043,0.017922043531314193
0.30000000000000004,1,1,20,15,0.9579534279111244,0.07811578068720737
0.4,1,1,20,15,0.8979472245832979,0.19925981982776353
0.5,1,1,20,15,0.806244479366462,0.3661000830871919
0.6000000000000001,1,1,20,15,0.6755066317531421,0.5285079757898321
0.7000000000000001,1,1,20,15,0.5052155490924808,0.6235447044158988
0.8,1,1,20,15,0.32067112811252113,0.6107280799024895
0.9,1,1,20,15,0.16825667620631019,0.5022345900118228
1.0,1,1,20,15,0.082845809796815,0.3783173149980487
1.1,1,1,20,15,0.06204222008694125,0.36227655065148134
1.2000000000000002,1,1,20,15,0.07477332362570814,0.4604190458620912
1.3,1,1,20,15,0.09042656871466624,0.589807506035508
1.4000000000000001,1,1,20,15,0.09672879464153455,0.7125758593149251
1.5,1,1,20,15,0.0963260686726725,0.8005646854806204
1.6,1,1,20,15,0.09583217582119036,0.8289123335720754
1.7000000000000002,1,1,20,15,0.09973963312460658,0.7972744697261617
1.8,1,1,20,15,0.10932585376153298,0.7259426672444675
1.9000000000000001,1,1,20,15,0.12343101993510772,0.63291895834291
2.0,1,1,20,15,0.14060913078054116,0.5430302107847897
2.1,1,1,20,15,0.16160360526886147,0.5213070385578165
2.2,1,1,20,15,0.1898947436985966,0.5953859836780481
2.3000000000000003,1,1,20,15,0.22987888418390115,0.671848321660712
2.4000000000000004,1,1,20,15,0.28365699023817187,0.658192797738455
2.5,1,1,20,15,0.34740477235489214,0.5423507998557497
2.6,1,1,20,15,0.41009850486600447,0.39922994109038834
2.7,1,1,20,15,0.45811436617392753,0.3603355087303789
2.8000000000000003,1,1,20,15,0.4836375591750762,0.4353161760320493
2.9000000000000004,1,1,20,15,0.4890981853242527,0.513340792041705
3.0,1,1,20,15,0.48399566459294524,0.5432245314930503
3.1,1,1,20,15,0.47869467398501303,0.512670179090903
3.2,1,1,20,15,0.4790918091675812,0.4304539274993305
3.3000000000000003,1,1,20,15,0.4812405705565674,0.33683774167966823
3.4000000000000004,1,1,20,15,0.46957017719653704,0.2874150233621756
3.5,1,1,20,15,0.42764359042573535,0.30353311919242043
3.6,1,1,20,15,0.35710597601304056,0.3955128514142783
3.7,1,1,20,15,0.28164293459776757,0.5562240267759385
3.8000000000000003,1,1,20,15,0.22433621445107388,0.7098778523845762
3.9000000000000004,1,1,20,15,0.18357211368913803,0.7662395306579718
4.0,1,1,20,15,0.1405777673302622,0.6840310808660789
0.0,2,1,0,0,1.0000000000000022,3.1086244689504387e-15
0.1,2,1,36,30,0.9998099855546991,0.0005273584471533207
0.2,2,1,36,30,0.9973783612884395,0.007726481826859892
0.30000000000000004,2,1,36,30,0.9894328414297059,0.03371305382956099
0.4,2,1,36,30,0.9747440152820986,0.08618561474298525
0.5,2,1,36,30,0.9542665817759892,0.15904922332955848
0.6000000000000001,2,1,36,30,0.9295522027232516,0.23166489581428787
0.7000000000000001,2,1,36,30,0.9027188877090364,0.2785238779322253
0.8,2,1,36,30,0.8763967954374521,0.28483611182590846
0.9,2,1,36,30,0.8510095059518097,0.26082087394627257
1.0,2,1,36,30,0.8218402446518999,0.24693351697037835
1.1,2,1,36,30,0.7794335685660072,0.28531086340911915
1.2000000000000002,2,1,36,30,0.712001718470812,0.37151726471709784
1.3,2,1,36,30,0.6084301740693197,0.4807553002092454
1.4000000000000001,2,1,36,30,0.4659334168879915,0.5937195680322284
1.5,2,1,36,30,0.3027225102672055,0.6912494135838073
1.6,2,1,38,30,0.1620082655402385,0.7547909774527262
1.7000000000000002,2,1,38,30,0.09270867592571551,0.7710610317463324
1.8,2,1,38,30,0.11610309130537057,0.7340805757447009
1.9000000000000001,2,1,38,30,0.20905958427310586,0.6484579040228078
2.0,2,1,38,30,0.3214971511733743,0.5377369615412689
2.1,2,1,38,30,0.4109391282255212,0.44726695023448154
2.2,2,1,38,30,0.4627692748375233,0.411075231628933
2.3000000000000003,2,1,38,30,0.48508468148505385,0.40232363718997327
2.4000000000000004,2,1,38,30,0.4923523578253938,0.3756198857147417
2.5,2,1,38,30,0.49461444244663905,0.3334641104306638
2.6,2,1,38,30,0.49565778017563566,0.3246013302292459
2.7,2,1,38,30,0.4953367612510858,0.3756814802130333
2.8000000000000003,2,1,38,30,0.4925043822287262,0.4533000535573994
2.9000000000000004,2,1,38,30,0.4872865358059227,0.5182602808752864
3.0,2,1,38,30,0.4816970697341017,0.5436869818278718
3.1,2,1,38,30,0.47841641427675846,0.5126729739388889
3.2,2,1,36,30,0.4785790837055078,0.4304676649436715
3.3000000000000003,2,1,36,30,0.4795354124132752,0.33799613174809573
3.4000000000000004,2,1,36,30,0.4744424204200535,0.2955160985940393
3.5,2,1,36,30,0.45606677513259736,0.30859836234120164
3.6,2,1,36,30,0.4232020936182124,0.3360259164389761
3.7,2,1,36,30,0.3829842267735783,0.37253050284314543
3.8000000000000003,2,1,36,30,0.3457765346823501,0.4193518321231399
3.9000000000000004,2,1,36,30,0.31916267251661423,0.4450578281053592
4.0,2,1,36,30,0.30847576174353025,0.4172100381783689
0.0,4,1,0,0,1.0000000000000022,3.1086244689504387e-15
0.1,4,1,68,60,0.9999523998257528,0.00024377093599100967
0.2,4,1,68,60,0.9993396974700544,0.0035820749961564665
0.30000000000000004,4,1,68,60,0.9973213477821989,0.015705475967112706
0.4,4,1,68,60,0.9935777577654565,0.0404146504823694
0.5,4,1,68,60,0.9884241525469613,0.075172858257783
0.6000000000000001,4,1,68,60,0.9823955025771111,0.11040737027797974
0.7000000000000001,4,1,68,60,0.9760735234993905,0.13366340149952774
0.8,4,1,68,60,0.9700196654699791,0.137084244999801
0.9,4,1,68,60,0.9643895297643835,0.12543623248277813
1.0,4,1,68,60,0.9586624305481345,0.11990231664829445
1.1,4,1,68,60,0.95208774962343,0.13883078078987934
1.2000000000000002,4,1,68,60,0.9445523281673923,0.17039807122732484
1.3,4,1,68,60,0.9372553154068729,0.1953519237246687
1.4000000000000001,4,1,68,60,0.9328447884073695,0.20435387335520874
1.5,4,1,68,60,0.9341663181007279,0.1942083051357655
1.6,4,1,68,60,0.9408926295506643,0.16427534775315766
1.7000000000000002,4,1,68,60,0.9463642949051889,0.12020102425213842
1.8,4,1,68,60,0.9396125007541524,0.0928109946321149
1.9000000000000001,4,1,68,60,0.9133627981914455,0.1322080672367104
2.0,4,1,68,60,0.8703149285168853,0.20601332213399373
2.1,4,1,68,60,0.8192202528232276,0.27494778461966735
2.2,4,1,68,60,0.7636496843914811,0.32231642012448125
2.3000000000000003,4,1,68,60,0.6965084800013822,0.34444435938370727
2.4000000000000004,4,1,68,60,0.6077368134498892,0.3522858393067893
2.5,4,1,68,60,0.4970320179462693,0.37092899646026645
2.6,4,1,68,60,0.3775468452629261,0.42386366781605345
2.7,4,1,68,60,0.26729317229337857,0.5115393737001536
2.8000000000000003,4,1,68,60,0.1780936315848934,0.6166749793877259
2.9000000000000004,4,1,68,60,0.11224305687641258,0.7220237812179601
3.0,4,1,68,60,0.06706306002747925,0.8157982084117523
3.1,4,1,68,60,0.040300092496215356,0.8878093253387226
3.2,4,1,72,60,0.030993330301820846,0.9250130065548442
3.3000000000000003,4,1,72,60,0.03655445946679529,0.9127241856877547
3.4000000000000004,4,1,72,60,0.050714709597481165,0.8425289236874354
3.5,4,1,72,60,0.06575929879598232,0.7217947311804852
3.6,4,1,72,60,0.07738793717916001,0.5778657968324842
3.7,4,1,72,60,0.08674727451983512,0.45239313231318407
3.8000000000000003,4,1,72,60,0.09682186096721536,0.3822476912233558
3.9000000000000004,4,1,72,60,0.10731486152884927,0.3728430052221034
4.0,4,1,72,60,0.11440390689628253,0.40312979501195845
0.0,8,1,0,0,1.0000000000000022,3.1086244689504387e-15
0.1,8,1,132,120,0.9999880841873069,0.00011708868085354757
0.2,8,1,132,120,0.9998341098713905,0.001724096151458613
0.30000000000000004,8,1,132,120,0.9993238841024273,0.007585266506277922
0.4,8,1,132,120,0.9983728711308217,0.019613190447552633
0.5,8,1,132,120,0.997064399222724,0.03670574491016709
0.6000000000000001,8,1,132,120,0.9955446201700725,0.05430347088912565
0.7000000000000001,8,1,132,120,0.9939630787072767,0.06625975707661756
0.8,8,1,132,120,0.9924534186394994,0.06841598947255521
0.9,8,1,132,120,0.9910650671461178,0.06264924774488993
1.0,8,1,132,120,0.9897302583007155,0.05914732621258132
1.1,8,1,132,120,0.9883901665578776,0.06723946899771047
1.2000000000000002,8,1,132,120,0.9871998278222666,0.08041786817173358
1.3,8,1,132,120,0.9866280848911597,0.08765207653739393
1.4000000000000001,8,1,132,120,0.9873190976192362,0.08415211262065908
1.5,8,1,132,120,0.989574239720703,0.07073744077648139
1.6,8,1,132,120,0.9925279724509789,0.05140070271597636
1.7000000000000002,8,1,132,120,0.9938023282694088,0.032389793728761405
1.8,8,1,132,120,0.9906573394518645,0.025852452611546277
1.9000000000000001,8,1,132,120,0.982216958242365,0.03742678139178646
2.0,8,1,132,120,0.9704868053689084,0.053229999027070325
2.1,8,1,132,120,0.9585761478105899,0.06685244324974875
2.2,8,1,132,120,0.9478724955676671,0.07795398228225851
2.3000000000000003,8,1,132,120,0.9376066411145411,0.09014754507576443
2.4000000000000004,8,1,132,120,0.9273288810124404,0.10806110649320189
2.5,8,1,132,120,0.9187999858551587,0.1309609527056518
2.6,8,1,132,120,0.9144101510557211,0.1517266957216547
2.7,8,1,132,120,0.913950676753958,0.16298221797292825
2.8000000000000003,8,1,132,120,0.9138619253793286,0.16355192371356775
2.9000000000000004,8,1,132,120,0.9098542340122435,0.16109557289401452
3.0,8,1,132,120,0.8997978086214156,0.16616480562014502
3.1,8,1,132,120,0.8842919732857089,0.17866433463255105
3.2,8,1,132,120,0.8655608601081806,0.18608602536433916
3.3000000000000003,8,1,132,120,0.8461923798080561,0.17572915287520263
3.4000000000000004,8,1,132,120,0.8277121967174805,0.14368334963046406
3.5,8,1,132,120,0.8091304394669233,0.10259054057819736
3.6,8,1,132,120,0.7874507338152786,0.09875945994158819
3.7,8,1,132,120,0.7610337040287352,0.15046159146554586
3.8000000000000003,8,1,132,120,0.7321791510196223,0.20838577155149107
3.9000000000000004,8,1,132,120,0.7041781657791469,0.24401021767026806
4.0,8,1,132,120,0.6745106036417717,0.25071957706509423
0.0,16,1,0,0,1.0000000000000022,3.1086244689504387e-15
0.1,16,1,260,240,0.9999970188435581,5.736999479732689e-05
0.2,16,1,260,240,0.9999584128060811,0.0008457329663139464
0.30000000000000004,16,1,260,240,0.9998300469514617,0.0037280987528294346
0.4,16,1,260,240,0.9995900159423278,0.009666359560002977
0.5,16,1,260,240,0.9992594447655875,0.01815549645824304
0.6000000000000001,16,1,260,240,0.9988761400836229,0.02697803638625499
0.7000000000000001,16,1,260,240,0.9984777738947074,0.033082555381840587
0.8,16,1,260,240,0.9980965334786188,0.03431913541146463
0.9,16,1,260,240,0.9977446538240895,0.031460856206653155
1.0,16,1,260,240,0.9974091804993249,0.029483929204641515
1.1,16,1,260,240,0.9970844138601365,0.03328260008595666
1.2000000000000002,16,1,260,240,0.9968215203238214,0.0396802427589855
1.3,16,1,260,240,0.9967471493959044,0.04279831542343056
1.4000000000000001,16,1,260,240,0.9970166121348525,0.040013789665161476
1.5,16,1,260,240,0.997674909583794,0.03208530099865896
1.6,16,1,260,240,0.9984566755467066,0.022310231151547438
